timestamp_unix;timestamp_esp;device_id;suhu;kelembaban;interval_ms;latency_ms;jitter_ms;packet_rate;label
1.779.165.104.441;763232;ESP32-IDS-01;30.8;60.0;10000;9999;0;2.27;dos
1779146066.92;9760;ESP32-IDS-01;28.5;63.7;732;19;1;0.9;normal
1.779.148.354.871;159371;ESP32-IDS-01;28.5;70.1;917;18;1;0.7;normal
1.779.149.330.215;1134748;ESP32-IDS-01;28.9;68.3;884;18;1;2.3;normal
1.779.149.632.787;1437321;ESP32-IDS-01;29.0;67.7;447;18;2;1.1;normal
1.779.154.246.318;41054;ESP32-IDS-01;30.0;62.6;801;26;25;4.15;dos
1.779.145.932.717;114950;ESP32-IDS-01;28.6;64.6;634;21;2;2.5;normal
1.779.150.698.306;500273;ESP32-IDS-01;29.4;66.6;494;25;7;7.45;dos
1779165834.5;87885;ESP32-IDS-01;31.4;57.9;563;362;1019;8.4;dos
1.779.148.767.512;571995;ESP32-IDS-01;28.9;68.5;770;20;0;2.1;normal
1.779.146.495.725;123493;ESP32-IDS-01;28.6;63.0;990;21;1;1.1;normal
1.779.167.395.045;433903;ESP32-IDS-01;28.6;52.4;831;24;23;3.8;dos
1.779.156.402.008;94559;ESP32-IDS-01;30.1;61.8;823;27;8;4.12;dos
1.779.159.458.654;261209;ESP32-IDS-01;30.6;61.1;10000;627;664;2.45;dos
1.779.145.622.305;889235;ESP32-IDS-01;28.4;65.9;967;20;1;2.5;normal
1.779.156.493.375;184935;ESP32-IDS-01;30.0;61.8;301;361;518;6.32;dos
1.779.146.023.504;205754;ESP32-IDS-01;28.6;64.5;952;23;6;2.4;normal
1.779.155.161.641;416125;ESP32-IDS-01;30.1;62.2;428;3438;869;3.4;dos
1.779.157.834.239;40754;ESP32-IDS-01;30.3;60.9;1425;306;375;3.0;dos
1.779.151.360.935;1163001;ESP32-IDS-01;29.9;64.4;828;20;0;3.3;dos
1.779.154.419.845;98959;ESP32-IDS-01;30.1;62.3;314;23;7;2.6;dos
1.779.145.422.897;689817;ESP32-IDS-01;28.3;68.8;933;20;1;2.9;normal
1.779.149.458.558;1263088;ESP32-IDS-01;28.9;68.2;920;21;1;3.3;normal
1779151588.78;1390853;ESP32-IDS-01;29.9;64.2;783;20;0;0.2;dos
1.779.145.971.527;153779;ESP32-IDS-01;28.6;62.6;939;24;5;2.3;normal
1.779.164.476.207;147990;ESP32-IDS-01;29.6;64.7;438;18;3;2.4;dos
1.779.149.256.228;1060755;ESP32-IDS-01;28.9;68.5;721;19;0;0.4;normal
1.779.150.790.616;591124;ESP32-IDS-01;29.4;66.3;1194;516;619;1.54;dos
1.779.151.677.081;1479104;ESP32-IDS-01;29.8;64.5;1170;38;12;4.05;dos
1.779.158.691.701;171009;ESP32-IDS-01;30.1;61.9;3593;743;527;0.78;dos
1.779.149.393.192;1197724;ESP32-IDS-01;29.0;68.1;585;19;1;1.8;normal
1.779.149.122.629;927150;ESP32-IDS-01;28.9;68.3;346;20;1;1.9;normal
1.779.145.980.964;163227;ESP32-IDS-01;28.6;65.4;620;20;2;1.5;normal
1.779.148.604.613;409119;ESP32-IDS-01;28.8;69.2;418;19;1;2.8;normal
1.779.165.610.114;1281816;ESP32-IDS-01;31.3;58.5;575;33;25;2.2;dos
1.779.148.784.434;588944;ESP32-IDS-01;28.9;68.5;708;20;2;2.0;normal
1779153613.75;588559;ESP32-IDS-01;30.0;62.6;679;22;8;3.85;dos
1.779.149.491.497;1296005;ESP32-IDS-01;29.0;68.1;685;20;1;2.6;normal
1.779.148.530.569;335072;ESP32-IDS-01;28.7;69.5;935;19;1;3.5;normal
1.779.154.456.626;132495;ESP32-IDS-01;30.1;62.4;10000;757;1012;2.2;dos
1.779.150.955.228;742387;ESP32-IDS-01;29.5;66.1;10000;9999;0;2.7;dos
1.779.149.106.525;911037;ESP32-IDS-01;28.9;68.3;761;21;1;0.7;normal
1779165919.62;25291;ESP32-IDS-01;31.5;56.5;1015;148;155;2.59;dos
